X,Y,OBJECTID,FileNumber,OccuranceYear,ReportedDate,ReportedTime,ReportedWeekday,Offense,OffenseCategory,HouseNumber,StreetName,City,ReportedDateText,ReportedTimeText,Lat,Lon
530000,5452900,1134720,2018-19083,2018,2018-08-15T00:00:00.000Z,2018-08-15T09:24:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,229XX,ABERNETHY LANE,MAPLE RIDGE,"Aug 15, 2018",9:24 am,49.2287056,-122.5843605
529930,5452140,1134722,2018-19092,2018,2018-08-15T00:00:00.000Z,2018-08-15T09:39:00.000Z,Tuesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,120XX,GREENWELL ST,MAPLE RIDGE,"Aug 15, 2018",9:39 am,49.2246737,-122.5889852
524530,5450940,1134723,2018-19094,2018,2018-08-15T00:00:00.000Z,2018-08-15T10:34:00.000Z,Wednesday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,114XX,201A ST,MAPLE RIDGE,"Aug 15, 2018",10:34 am,49.2097077,-122.6632212
524780,5450200,1134724,2018-19099,2018,2018-08-15T00:00:00.000Z,2018-08-15T11:06:00.000Z,Tuesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,202XX,DITTON ST,MAPLE RIDGE,"Aug 15, 2018",11:06 am,49.2043599,-122.6593393
526380,5452590,1134725,2018-19103,2018,2018-08-15T00:00:00.000Z,2018-08-15T11:47:00.000Z,Tuesday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,210XX,STONEHOUSE AVE,MAPLE RIDGE,"Aug 15, 2018",11:47 am,49.2254789,-122.6361164
526070,5452350,1134727,2018-19116,2018,2018-08-15T00:00:00.000Z,2018-08-15T14:48:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,209XX,WICKLUND AVE,MAPLE RIDGE,"Aug 15, 2018",2:48 pm,49.2233933,-122.6560832
530040,5451290,1134728,2018-19130,2018,2018-08-15T00:00:00.000Z,2018-08-15T17:32:00.000Z,Wednesday,THEFT BICYCLE UNDER $5000,BIKE THEFT,229XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 15, 2018",5:32 pm,49.1992265,-122.5775593
526150,5451710,1134729,2018-19133,2018,2018-08-15T00:00:00.000Z,2018-08-15T18:05:00.000Z,Wednesday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,209XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 15, 2018",6:05 pm,49.1992265,-122.5775593
527130,5452040,1134730,2018-19136,2018,2018-08-15T00:00:00.000Z,2018-08-15T18:59:00.000Z,Wednesday,BREAK & ENTER-OTHER,BREAK & ENTER - OTH,214XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 15, 2018",6:59 pm,49.2199546,-122.4428793
524280,5451740,1134731,2018-19138,2018,2018-08-15T00:00:00.000Z,2018-08-15T19:16:00.000Z,Wednesday,THEFT OF TRUCK UNDER $5000,AUTO THEFT,200XX,DUNN AVE,MAPLE RIDGE,"Aug 15, 2018",7:16 pm,49.2179434,-122.6679022
530150,5452780,1134732,2018-19146,2018,2018-08-15T00:00:00.000Z,2018-08-15T20:36:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,229XX,123B AVE,MAPLE RIDGE,"Aug 15, 2018",8:36 pm,49.2270913,-122.5867633
